B02001_001M,B02001_002M,B02001_001E,B02001_002E,NAME,state,county,tract
684,223,3485,1256,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
295,266,2850,1888,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
689,682,5262,4085,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
400,330,3305,1876,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
602,571,4592,2514,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
711,204,4383,209,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
302,34,1458,29,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
728,23,2779,14,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
648,33,4304,23,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
610,14,2803,0,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
627,142,3407,198,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
1379,53,4124,118,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
722,26,3387,16,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
922,80,4999,56,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
655,89,2440,149,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
592,44,2815,38,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
901,97,4949,196,Census Tract 76.01; District of Columbia; District of Columbia,11,001,007601
866,103,4281,113,Census Tract 76.03; District of Columbia; District of Columbia,11,001,007603
729,82,3738,261,Census Tract 76.04; District of Columbia; District of Columbia,11,001,007604
548,54,3793,72,Census Tract 76.05; District of Columbia; District of Columbia,11,001,007605
1051,67,7140,51,Census Tract 77.03; District of Columbia; District of Columbia,11,001,007703
869,50,4345,57,Census Tract 77.07; District of Columbia; District of Columbia,11,001,007707
535,5,2444,2,Census Tract 77.08; District of Columbia; District of Columbia,11,001,007708
589,48,2512,54,Census Tract 77.09; District of Columbia; District of Columbia,11,001,007709
857,57,4968,58,Census Tract 78.03; District of Columbia; District of Columbia,11,001,007803
887,132,4078,176,Census Tract 78.04; District of Columbia; District of Columbia,11,001,007804
446,142,2361,173,Census Tract 78.06; District of Columbia; District of Columbia,11,001,007806
604,48,2477,45,Census Tract 78.07; District of Columbia; District of Columbia,11,001,007807
1040,31,4105,48,Census Tract 78.08; District of Columbia; District of Columbia,11,001,007808
737,77,3134,108,Census Tract 78.09; District of Columbia; District of Columbia,11,001,007809
889,233,4397,944,Census Tract 79.01; District of Columbia; District of Columbia,11,001,007901
348,96,1859,441,Census Tract 79.03; District of Columbia; District of Columbia,11,001,007903
415,369,3058,2198,Census Tract 80.01; District of Columbia; District of Columbia,11,001,008001
398,359,3286,2178,Census Tract 80.02; District of Columbia; District of Columbia,11,001,008002
448,444,3183,2641,Census Tract 81; District of Columbia; District of Columbia,11,001,008100
388,312,2805,1974,Census Tract 82; District of Columbia; District of Columbia,11,001,008200
309,295,3077,2231,Census Tract 83.01; District of Columbia; District of Columbia,11,001,008301
489,445,2871,2202,Census Tract 83.02; District of Columbia; District of Columbia,11,001,008302
325,299,2557,1587,Census Tract 84.02; District of Columbia; District of Columbia,11,001,008402
429,249,2138,1001,Census Tract 84.10; District of Columbia; District of Columbia,11,001,008410
464,440,2618,1294,Census Tract 87.01; District of Columbia; District of Columbia,11,001,008701
