S1601_C01_001M,S1601_C05_001M,S1601_C05_001E,S1601_C01_001E,NAME,state,county,tract
679,13,7,3937,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
534,14,0,2579,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
565,114,131,3126,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
926,77,67,3424,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
588,14,0,3155,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
819,14,0,4426,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
575,51,31,2232,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
495,62,38,2561,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
763,68,87,4524,Census Tract 76.01; District of Columbia; District of Columbia,11,001,007601
799,8,4,4079,Census Tract 76.03; District of Columbia; District of Columbia,11,001,007603
719,114,124,3690,Census Tract 76.04; District of Columbia; District of Columbia,11,001,007604
540,35,24,3688,Census Tract 76.05; District of Columbia; District of Columbia,11,001,007605
1004,314,433,6381,Census Tract 77.03; District of Columbia; District of Columbia,11,001,007703
699,14,0,3884,Census Tract 77.07; District of Columbia; District of Columbia,11,001,007707
530,55,34,2420,Census Tract 77.08; District of Columbia; District of Columbia,11,001,007708
545,14,0,2474,Census Tract 77.09; District of Columbia; District of Columbia,11,001,007709
819,14,0,4465,Census Tract 78.03; District of Columbia; District of Columbia,11,001,007803
873,136,90,3876,Census Tract 78.04; District of Columbia; District of Columbia,11,001,007804
417,75,58,2151,Census Tract 78.06; District of Columbia; District of Columbia,11,001,007806
580,55,42,2317,Census Tract 78.07; District of Columbia; District of Columbia,11,001,007807
1028,31,23,4074,Census Tract 78.08; District of Columbia; District of Columbia,11,001,007808
588,64,41,2566,Census Tract 78.09; District of Columbia; District of Columbia,11,001,007809
824,54,52,3906,Census Tract 79.01; District of Columbia; District of Columbia,11,001,007901
341,42,32,1764,Census Tract 79.03; District of Columbia; District of Columbia,11,001,007903
397,44,44,2741,Census Tract 80.01; District of Columbia; District of Columbia,11,001,008001
411,28,24,2987,Census Tract 80.02; District of Columbia; District of Columbia,11,001,008002
466,19,13,3001,Census Tract 81; District of Columbia; District of Columbia,11,001,008100
299,13,12,2554,Census Tract 82; District of Columbia; District of Columbia,11,001,008200
313,23,15,2930,Census Tract 83.01; District of Columbia; District of Columbia,11,001,008301
495,32,39,2742,Census Tract 83.02; District of Columbia; District of Columbia,11,001,008302
337,22,14,2472,Census Tract 84.02; District of Columbia; District of Columbia,11,001,008402
362,18,12,1876,Census Tract 84.10; District of Columbia; District of Columbia,11,001,008410
457,55,74,2511,Census Tract 87.01; District of Columbia; District of Columbia,11,001,008701
565,40,26,3288,Census Tract 87.02; District of Columbia; District of Columbia,11,001,008702
548,199,325,4326,Census Tract 88.02; District of Columbia; District of Columbia,11,001,008802
564,113,161,4439,Census Tract 88.03; District of Columbia; District of Columbia,11,001,008803
559,72,78,2204,Census Tract 88.04; District of Columbia; District of Columbia,11,001,008804
964,9,4,3441,Census Tract 89.03; District of Columbia; District of Columbia,11,001,008903
859,104,81,3625,Census Tract 89.04; District of Columbia; District of Columbia,11,001,008904
617,14,0,3568,Census Tract 90; District of Columbia; District of Columbia,11,001,009000
582,103,118,3796,Census Tract 91.02; District of Columbia; District of Columbia,11,001,009102
381,85,102,2841,Census Tract 92.01; District of Columbia; District of Columbia,11,001,009201
693,209,142,3078,Census Tract 92.03; District of Columbia; District of Columbia,11,001,009203
536,287,592,3011,Census Tract 92.04; District of Columbia; District of Columbia,11,001,009204
505,127,84,3215,Census Tract 93.01; District of Columbia; District of Columbia,11,001,009301
275,46,43,1664,Census Tract 93.02; District of Columbia; District of Columbia,11,001,009302
570,106,115,4564,Census Tract 94; District of Columbia; District of Columbia,11,001,009400
663,417,403,3142,Census Tract 95.03; District of Columbia; District of Columbia,11,001,009503
357,191,316,2905,Census Tract 95.04; District of Columbia; District of Columbia,11,001,009504
531,89,127,4319,Census Tract 95.05; District of Columbia; District of Columbia,11,001,009505
320,213,274,1487,Census Tract 95.07; District of Columbia; District of Columbia,11,001,009507
959,152,304,3763,Census Tract 95.08; District of Columbia; District of Columbia,11,001,009508
458,48,44,2899,Census Tract 95.09; District of Columbia; District of Columbia,11,001,009509
769,255,872,4390,Census Tract 95.10; District of Columbia; District of Columbia,11,001,009510
58,75,54,1426,Census Tract 95.11; District of Columbia; District of Columbia,11,001,009511
439,38,26,2079,Census Tract 96.01; District of Columbia; District of Columbia,11,001,009601
469,40,30,4957,Census Tract 96.02; District of Columbia; District of Columbia,11,001,009602
718,54,57,4173,Census Tract 96.03; District of Columbia; District of Columbia,11,001,009603
393,41,60,1743,Census Tract 96.04; District of Columbia; District of Columbia,11,001,009604
660,24,15,2969,Census Tract 97; District of Columbia; District of Columbia,11,001,009700
393,14,11,1872,Census Tract 98.01; District of Columbia; District of Columbia,11,001,009801
410,18,12,1910,Census Tract 98.02; District of Columbia; District of Columbia,11,001,009802
543,62,49,2760,Census Tract 98.03; District of Columbia; District of Columbia,11,001,009803
538,97,92,2396,Census Tract 98.04; District of Columbia; District of Columbia,11,001,009804
558,123,81,3032,Census Tract 98.07; District of Columbia; District of Columbia,11,001,009807
406,60,39,1918,Census Tract 98.10; District of Columbia; District of Columbia,11,001,009810
1028,86,41,4052,Census Tract 98.11; District of Columbia; District of Columbia,11,001,009811
326,15,9,1957,Census Tract 99.01; District of Columbia; District of Columbia,11,001,009901
813,13,10,2498,Census Tract 99.02; District of Columbia; District of Columbia,11,001,009902
458,72,56,1923,Census Tract 99.03; District of Columbia; District of Columbia,11,001,009903
591,99,111,3276,Census Tract 99.04; District of Columbia; District of Columbia,11,001,009904
630,14,0,2900,Census Tract 99.05; District of Columbia; District of Columbia,11,001,009905
297,49,42,1447,Census Tract 99.06; District of Columbia; District of Columbia,11,001,009906
646,36,36,2001,Census Tract 99.07; District of Columbia; District of Columbia,11,001,009907
416,72,123,2629,Census Tract 101; District of Columbia; District of Columbia,11,001,010100
440,64,59,2889,Census Tract 102.01; District of Columbia; District of Columbia,11,001,010201
348,56,70,2325,Census Tract 102.02; District of Columbia; District of Columbia,11,001,010202
542,287,668,3978,Census Tract 103; District of Columbia; District of Columbia,11,001,010300
893,55,40,4246,Census Tract 104; District of Columbia; District of Columbia,11,001,010400
563,92,98,3708,Census Tract 105; District of Columbia; District of Columbia,11,001,010500
333,67,73,1884,Census Tract 106.01; District of Columbia; District of Columbia,11,001,010601
718,38,44,6798,Census Tract 106.02; District of Columbia; District of Columbia,11,001,010602
591,14,0,2560,Census Tract 106.03; District of Columbia; District of Columbia,11,001,010603
329,44,63,1609,Census Tract 107; District of Columbia; District of Columbia,11,001,010700
272,73,220,4727,Census Tract 108; District of Columbia; District of Columbia,11,001,010800
626,59,77,2952,Census Tract 109; District of Columbia; District of Columbia,11,001,010900
540,369,317,2541,Census Tract 110.01; District of Columbia; District of Columbia,11,001,011001
194,21,16,1472,Census Tract 110.02; District of Columbia; District of Columbia,11,001,011002
687,100,188,4582,Census Tract 111; District of Columbia; District of Columbia,11,001,011100
25,14,0,17,Census Tract 9800; District of Columbia; District of Columbia,11,001,980000
